temperature 	 Volume_T	Volume_0	Volume_thermal_expansion	Linear_thermal_expansion	Cv_calc	Linear_expansion_factor	phi
352.0	46.14771173416455	45.64128985291565	4.911494866323198e-06	1.6371649554410662e-06	8.6199531471366	1.0005762820643151	3.9407077344735e-07
354.0	46.14816996386933	45.64128985291565	4.964815020686249e-06	1.6549383402287497e-06	8.701491597526616	1.000585848172441	4.011705951503707e-07
356.0	46.148632993514234	45.64128985291565	5.0167714696768705e-06	1.672257156558957e-06	8.782785391262685	1.000595323547735	4.0811646108382244e-07
358.0	46.14910076686174	45.64128985291565	5.068117050995622e-06	1.6893723503318738e-06	8.863832365490964	1.0006047953014188	4.1502754077584565e-07
360.0	46.149573523348	45.64128985291565	5.1220552340645215e-06	1.7073517446881738e-06	8.944642577727333	1.0006146466280876	4.224298748365089e-07
362.0	46.150050998007856	45.64128985291565	5.173121043158207e-06	1.7243736810527357e-06	9.025184299736361	1.000624223272541	4.2942652378575063e-07
364.0	46.150533184475115	45.64128985291565	5.224116299244142e-06	1.7413720997480473e-06	9.105465946063282	1.0006338594443083	4.3647614547365245e-07
366.0	46.15102030724086	45.64128985291565	5.277542122864773e-06	1.7591807076215911e-06	9.185495088277438	1.0006438601389895	4.439991592211888e-07
368.0	46.151512203125584	45.64128985291565	5.329198373585472e-06	1.7763994578618241e-06	9.265246155226388	1.000653715000493	4.5129391094213554e-07
370.0	46.15200881537755	45.64128985291565	5.380238135849224e-06	1.7934127119497413e-06	9.344720220312032	1.0006635627034215	4.585513061577765e-07
372.0	46.152510130730214	45.64128985291565	5.431132528490265e-06	1.810377509496755e-06	9.423915202338678	1.0006734604335328	4.6585054239269476e-07
374.0	46.153016222254614	45.64128985291565	5.482816893020949e-06	1.827605631006983e-06	9.502831673492452	1.0006835245059966	4.733529049758672e-07
376.0	46.153527065032684	45.64128985291565	5.534229611449125e-06	1.844743203816375e-06	9.581460133773284	1.0006936234446349	4.808773250382756e-07
378.0	46.15404262976358	45.64128985291565	5.585323199354827e-06	1.8617743997849424e-06	9.659796368835979	1.0007037507231187	4.884151213900427e-07
380.0	46.1545629057739	45.64128985291565	5.636299451531879e-06	1.8787664838439595e-06	9.737837650275718	1.0007139312638607	4.960012088136742e-07
382.0	46.15508776849612	45.64128985291565	5.685924523728916e-06	1.8953081745763054e-06	9.815573774228076	1.0007240077226882	5.034175381596027e-07
384.0	46.15561738138982	45.64128985291565	5.7373186717451685e-06	1.9124395572483894e-06	9.893017818401928	1.0007343767899834	5.112153096318258e-07
386.0	46.15615160159395	45.64128985291565	5.787163453108964e-06	1.9290544843696544e-06	9.970148775866274	1.0007446150309667	5.188068032960074e-07
388.0	46.15669052220234	45.64128985291565	5.838014974078555e-06	1.946004991359518e-06	10.04697715633752	1.0007550499366475	5.266478189980863e-07
390.0	46.15723401007317	45.64128985291565	5.887422437351265e-06	1.962474145783755e-06	10.123486629199071	1.0007653649168557	5.342980319376075e-07
392.0	46.157782160956614	45.64128985291565	5.937865376928462e-06	1.979288458976154e-06	10.199687778424199	1.0007758810759186	5.422052577487973e-07
394.0	46.1583349086922	45.64128985291565	5.987589846227729e-06	1.9958632820759096e-06	10.275568218216193	1.0007863701331379	5.500516901556858e-07
396.0	46.158892209376454	45.64128985291565	6.036836958689756e-06	2.0122789862299186e-06	10.351126576096298	1.000796862478547	5.578799400403875e-07
398.0	46.159454063124585	45.64128985291565	6.086083539251208e-06	2.028694513083736e-06	10.426362958434293	1.0008074204162074	5.657774359130737e-07
400.0	46.160020488205255	45.64128985291565	6.135526211983359e-06	2.045175403994453e-06	10.501276091889993	1.0008180701615979	5.737813753883947e-07
