temperature	strain-1_cv	strain-2_cv	strain-3_cv	strain-4_cv	strain-5_cv	strain-6_cv	strain-7_cv	strain-8_cv	strain-9_cv	strain-10_cv	strain-11_cv
338.0	6.2671468875	6.581729775	6.9144139875	7.2673405375	7.63732825	8.0230091625	8.4217620875	8.8325960125	9.2538026625	9.6791397875	10.11315105
340.0	6.3377029	6.655002425	6.990284075	7.3456562	7.717898825	8.1056103125	8.5061448375	8.918488875	9.34091745	9.767180175	10.201815025
342.0	6.4082672625	6.7282513	7.0660932125	7.4238690875	7.7983209625	8.1880144375	8.59028	9.00408255	9.42768135	9.8548192	10.2900286625
344.0	6.478833525	6.8014695625	7.1418343625	7.501972025	7.8785875625	8.2702146375	8.67416105	9.089371025	9.5140890125	9.9420522625	10.377788225
346.0	6.5493953375	6.874650525	7.21750055	7.579958	7.958691675	8.3522042125	8.757781675	9.174348525	9.6001353375	10.0288750125	10.4650902375
348.0	6.619946425	6.947787575	7.2930849875	7.6578201375	8.0386265375	8.4339766375	8.8411357875	9.2590095	9.6858154375	10.11528335	10.551931425
350.0	6.6904806125	7.0208742	7.368581	7.73555175	8.118385575	8.5155256375	8.924217475	9.3433486125	9.771124625	10.2012733625	10.638308775
352.0	6.7609918125	7.0939040625	7.4439820625	7.8131462875	8.197962375	8.5968450625	9.0070210625	9.427360725	9.8560584875	10.2868413875	10.7242194375
354.0	6.831474025	7.1668708625	7.519281775	7.89059735	8.2773507125	8.677929	9.0895410625	9.5110409375	9.9406127875	10.3719839625	10.809660825
356.0	6.9019213375	7.2397684625	7.59447385	7.967898725	8.3565445125	8.7587717125	9.1717721875	9.59438455	10.0247835125	10.4566978625	10.8946305125
358.0	6.972327925	7.312590825	7.6695521875	8.0450443125	8.4355379125	8.83936765	9.2537093625	9.67738705	10.10856685	10.5409800125	10.9791263125
360.0	7.0426880875	7.3853320125	7.7445107625	8.1220282	8.514325175	8.919711425	9.3353476875	9.76004415	10.1919591875	10.6248276	11.0631462
362.0	7.112996175	7.457986225	7.819343725	8.198844575	8.59290075	8.9997978625	9.41668245	9.842351725	10.2749571125	10.7082379625	11.14668835
364.0	7.1832466375	7.53054775	7.8940453375	8.2754878375	8.6712592375	9.079621925	9.4977091375	9.9243058625	10.3575573875	10.791208625	11.229751125
366.0	7.25343405	7.603011	7.9686099875	8.3519525	8.749395425	9.1591787875	9.5784233875	10.005902825	10.439757	10.8737373125	11.3123330375
368.0	7.32355305	7.6753705	8.0430322	8.4282332125	8.8273042375	9.2384637625	9.65882105	10.0871390625	10.5215530625	10.9558219375	11.3944327875
