temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
148.0	-8.685219759	-8.771582930625	-8.836251826124998	-8.8814775635	-8.908970684125	-8.92097906475	-8.919023155375	-8.904637302125	-8.878905718	-8.843410469125	-8.799146461375
150.0	-8.685224195125	-8.771587620375	-8.836256793499999	-8.881482844625001	-8.908976313625	-8.920985083125	-8.919029605375	-8.904644236125	-8.87891319775	-8.843418552875	-8.799155240625002
152.0	-8.685228839625001	-8.771592529625	-8.836261992499999	-8.881488371375001	-8.908982204	-8.92099137975	-8.919036352875	-8.904651489375	-8.878921021375	-8.8434270075	-8.7991644215
154.0	-8.685233698625002	-8.771597664875001	-8.836267430125	-8.881494150750001	-8.908988363	-8.920997962875	-8.91904340675	-8.90465907125	-8.878929198625	-8.843435843750001	-8.799174015625
156.0	-8.685238778625001	-8.77160303275	-8.836273113125	-8.881500190375	-8.9089947985	-8.921004840624999	-8.91905077575	-8.90466699125	-8.878937739875	-8.843445072375001	-8.799184034625
158.0	-8.685244085875	-8.771608639875	-8.836279048749999	-8.881506497375	-8.909001518250001	-8.9210120215	-8.91905846875	-8.90467525875	-8.878946655	-8.843454704125001	-8.799194490125
160.0	-8.68524962675	-8.771614492875	-8.83628524375	-8.881513079375	-8.909008530125	-8.921019513874999	-8.91906649475	-8.904683883375	-8.878955954375	-8.84346475025	-8.79920539375
162.0	-8.685255407625	-8.7716205985	-8.836291705374999	-8.88151994375	-8.909015842	-8.921027325999999	-8.919074862625	-8.904692874625	-8.87896564825	-8.843475221375	-8.79921675725
164.0	-8.685261435000001	-8.771626963500001	-8.83629844075	-8.881527098000001	-8.909023461875	-8.9210354665	-8.9190835815	-8.904702242125	-8.878975746875	-8.843486128750001	-8.7992285925
166.0	-8.685267715250001	-8.77163359475	-8.836305456875	-8.881534549625	-8.90903139775	-8.921043943625	-8.91909266025	-8.9047119955	-8.878986260625	-8.843497483250001	-8.799240911250001
168.0	-8.685274255000001	-8.771640499	-8.836312760999999	-8.881542306250001	-8.909039657625	-8.92105276625	-8.919102108	-8.904722144625	-8.878997199625	-8.843509296	-8.799253725125
170.0	-8.685281060500001	-8.771647682875	-8.836320360124999	-8.881550375375001	-8.9090482495	-8.921061942625	-8.919111934	-8.904732699	-8.879008574625	-8.843521578125001	-8.799267046125001
