temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
114.0	-8.8417190405	-8.871636276875	-8.894095901625	-8.909684331374999	-8.918772189250001	-8.921716393625001	-8.9188537815	-8.910463674375	-8.89673601475	-8.877823262375001	-8.853951443500002
116.0	-8.841721695624999	-8.871638895124999	-8.894098491625	-8.909686902375	-8.918774748625001	-8.921718942875001	-8.9188563405	-8.910466243625	-8.896738603	-8.877825878625	-8.853954099500001
118.0	-8.841724513374999	-8.87164167375	-8.8941012405	-8.90968963075	-8.918777464875001	-8.921721648625	-8.918859056125	-8.910468970250001	-8.896741349875	-8.8778286555	-8.85395691875
120.0	-8.841727501	-8.871644619875	-8.894104154875	-8.909692523375	-8.9187803445	-8.921724517375	-8.91886193525	-8.910471861125	-8.8967442625	-8.8778316	-8.853959908375
122.0	-8.841730665624999	-8.8716477405	-8.89410724175	-8.909695587375	-8.9187833945	-8.921727556	-8.918864984875	-8.910474923250002	-8.896747347749999	-8.87783471925	-8.853963075500001
124.0	-8.84173401475	-8.871651042875	-8.894110508375	-8.909698829625	-8.918786622125001	-8.921730771750001	-8.918868211875	-8.910478163750001	-8.89675061275	-8.8778380205	-8.85396642775
126.0	-8.8417375555	-8.87165453425	-8.894113962	-8.909702257374999	-8.918790034375	-8.92173417175	-8.918871623625	-8.91048158975	-8.896754064875	-8.877841511	-8.853969972375001
128.0	-8.841741295875	-8.87165822225	-8.894117610125	-8.909705878	-8.9187936385	-8.92173776325	-8.91887522725	-8.910485208625001	-8.8967577115	-8.877845198500001	-8.853973717125001
130.0	-8.84174524325	-8.8716621145	-8.894121460000001	-8.909709699124999	-8.918797442	-8.921741553625	-8.91887903025	-8.910489027875	-8.896761560125	-8.877849090375001	-8.853977669625001
132.0	-8.841749405624999	-8.871666218625	-8.894125519500001	-8.909713728	-8.9188014525	-8.921745550375	-8.91888304025	-8.910493054875001	-8.896765618375	-8.877853194375001	-8.853981837875
134.0	-8.841753790875	-8.871670542375	-8.894129796375001	-8.9097179725	-8.9188056775	-8.92174976125	-8.91888726475	-8.910497297625001	-8.896769894124999	-8.8778575185	-8.853986229625
136.0	-8.841758407124999	-8.871675093875	-8.89413429825	-8.9097224405	-8.918810124750001	-8.921754193875001	-8.918891711499999	-8.91050176375	-8.896774395	-8.877862070625001	-8.853990853125001
138.0	-8.841763262499999	-8.871679881124999	-8.894139033250001	-8.909727139625	-8.918814802250001	-8.921758856125	-8.9188963885	-8.910506461	-8.896779129125	-8.877866858625001	-8.853995716375001
140.0	-8.841768365124999	-8.871684912	-8.894144009375001	-8.909732078	-8.91881971775	-8.921763755875	-8.9189013035	-8.910511397625001	-8.896784104625	-8.877871890875001	-8.854000827750001
142.0	-8.8417737235	-8.871690195	-8.89414923475	-8.90973726375	-8.918824879375	-8.921768901250001	-8.918906464625	-8.910516581500001	-8.896789329375	-8.877877175375001	-8.854006195625
144.0	-8.841779345874999	-8.871695738375	-8.894154717625	-8.909742704874999	-8.91883029525	-8.921774300375	-8.91891188	-8.910522020875002	-8.89679481175	-8.877882720625001	-8.854011828125001
146.0	-8.841785240875	-8.8717015505	-8.894160466125001	-8.90974840975	-8.9188359735	-8.921779961250001	-8.918917557875	-8.91052772375	-8.896800559999999	-8.877888534875	-8.854017734000001
148.0	-8.841791417	-8.87170763975	-8.89416648875	-8.9097543865	-8.918841922375	-8.921785892125001	-8.91892350625	-8.910533698750001	-8.8968065825	-8.877894626625	-8.85402392175
150.0	-8.841797883	-8.871714014624999	-8.894172794000001	-8.909760643624999	-8.918848150375	-8.921792101500001	-8.91892973375	-8.910539954125001	-8.896812887625	-8.877901004375001	-8.854030400000001
152.0	-8.8418046475	-8.871720683875	-8.89417939025	-8.909767189624999	-8.91885466575	-8.921798597750001	-8.918936248625	-8.910546498250001	-8.896819484	-8.877907676625	-8.854037177375
154.0	-8.84181171925	-8.871727656	-8.894186286125	-8.909774032875	-8.918861476875001	-8.921805389125002	-8.9189430595	-8.910553339625	-8.89682638	-8.87791465225	-8.854044262750001
156.0	-8.841819107	-8.871734939749999	-8.89419349025	-8.909781182	-8.9188685925	-8.921812484375	-8.918950174625	-8.910560486875001	-8.8968335845	-8.877921939625	-8.854051664750001
158.0	-8.841826819875	-8.871742544	-8.89420101125	-8.909788645499999	-8.918876021125001	-8.921819891875	-8.91895760275	-8.910567948625001	-8.896841105875	-8.87792954775	-8.85405939225
160.0	-8.8418348665	-8.8717504775	-8.894208857875	-8.90979643225	-8.91888377125	-8.921827620375002	-8.918965352499999	-8.910575733375001	-8.896848953125	-8.877937485250001	-8.854067454125001
162.0	-8.841843256125	-8.871758749	-8.894217039	-8.90980455075	-8.918891851625	-8.9218356785	-8.9189734325	-8.910583850125	-8.89685713475	-8.877945761125	-8.854075859375001
164.0	-8.8418519975	-8.871767367375	-8.89422556325	-8.909813009875	-8.918900271	-8.921844074875	-8.9189818515	-8.91059230725	-8.896865659625	-8.877954384	-8.854084616875001
166.0	-8.84186109975	-8.87177634175	-8.8942344395	-8.909821818374999	-8.918909038125001	-8.92185281825	-8.91899061825	-8.910601113875	-8.89687453675	-8.877963363000001	-8.854093735625002
168.0	-8.841870572	-8.871785680875	-8.894243676625	-8.909830984874999	-8.91891816175	-8.921861917500001	-8.918999741375	-8.9106102785	-8.89688377475	-8.877972707000001	-8.854103224625002
170.0	-8.84188042325	-8.871795393874999	-8.894253283625	-8.9098405185	-8.918927650625001	-8.921871381375	-8.91900923	-8.910619810125	-8.896893382625	-8.87798242475	-8.854113092875
172.0	-8.841890662625	-8.871805489625	-8.89426326925	-8.909850428	-8.918937513625	-8.921881218625	-8.919019092625	-8.910629717625001	-8.89690336925	-8.877992525375001	-8.8541233495
174.0	-8.841901299124999	-8.87181597725	-8.894273642625	-8.909860722374999	-8.918947759625	-8.92189143825	-8.919029338249999	-8.910640009875001	-8.896913743499999	-8.878003018000001	-8.854134003375
176.0	-8.841912342125	-8.871826865625	-8.894284412500001	-8.90987141025	-8.918958397625001	-8.921902048875001	-8.91903997575	-8.91065069575	-8.896924514375	-8.878013911250001	-8.854145063625001
178.0	-8.841923800624999	-8.871838164	-8.894295588125	-8.90988250075	-8.91896943625	-8.921913059625	-8.919051013999999	-8.910661784125	-8.896935690874999	-8.878025214500001	-8.85415653925
180.0	-8.84193568375	-8.87184988125	-8.894307178125	-8.909894002749999	-8.9189808845	-8.92192447925	-8.919062462	-8.910673284000001	-8.896947281875	-8.878036936500001	-8.8541684395
182.0	-8.84194800075	-8.871862026499999	-8.89431919175	-8.90990592525	-8.918992751375	-8.921936316625	-8.919074328499999	-8.91068520425	-8.8969592965	-8.878049086375	-8.85418077325
184.0	-8.841960760625	-8.871874608875	-8.894331637875	-8.909918277	-8.919005045625001	-8.921948580875	-8.919086622375	-8.910697553875	-8.896971743375	-8.878061673000001	-8.854193549625
