temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
40.0,1052.1704533333334,134.05331866666666,134.05331866666666,0.0,0.0,0.0,134.05331866666666,1052.1704533333334,134.05331866666666,0.0,0.0,0.0,134.05331866666666,134.05331866666666,1052.1704533333334,0.0,0.0,0.0,0.0,0.0,0.0,567.1455973333333,0.0,0.0,0.0,0.0,0.0,0.0,567.1455973333333,0.0,0.0,0.0,0.0,0.0,0.0,567.1455973333333
42.0,1052.074676,134.0418346,134.0418346,0.0,0.0,0.0,134.0418346,1052.074676,134.0418346,0.0,0.0,0.0,134.0418346,134.0418346,1052.074676,0.0,0.0,0.0,0.0,0.0,0.0,567.0852772,0.0,0.0,0.0,0.0,0.0,0.0,567.0852772,0.0,0.0,0.0,0.0,0.0,0.0,567.0852772
44.0,1051.9788986666667,134.03035053333332,134.03035053333332,0.0,0.0,0.0,134.03035053333332,1051.9788986666667,134.03035053333332,0.0,0.0,0.0,134.03035053333332,134.03035053333332,1051.9788986666667,0.0,0.0,0.0,0.0,0.0,0.0,567.0249570666666,0.0,0.0,0.0,0.0,0.0,0.0,567.0249570666666,0.0,0.0,0.0,0.0,0.0,0.0,567.0249570666666
46.0,1051.8831213333333,134.01886646666665,134.01886646666665,0.0,0.0,0.0,134.01886646666665,1051.8831213333333,134.01886646666665,0.0,0.0,0.0,134.01886646666665,134.01886646666665,1051.8831213333333,0.0,0.0,0.0,0.0,0.0,0.0,566.9646369333333,0.0,0.0,0.0,0.0,0.0,0.0,566.9646369333333,0.0,0.0,0.0,0.0,0.0,0.0,566.9646369333333
48.0,1051.787344,134.00738239999998,134.00738239999998,0.0,0.0,0.0,134.00738239999998,1051.787344,134.00738239999998,0.0,0.0,0.0,134.00738239999998,134.00738239999998,1051.787344,0.0,0.0,0.0,0.0,0.0,0.0,566.9043168,0.0,0.0,0.0,0.0,0.0,0.0,566.9043168,0.0,0.0,0.0,0.0,0.0,0.0,566.9043168
50.0,1051.6915666666666,133.99589833333332,133.99589833333332,0.0,0.0,0.0,133.99589833333332,1051.6915666666666,133.99589833333332,0.0,0.0,0.0,133.99589833333332,133.99589833333332,1051.6915666666666,0.0,0.0,0.0,0.0,0.0,0.0,566.8439966666666,0.0,0.0,0.0,0.0,0.0,0.0,566.8439966666666,0.0,0.0,0.0,0.0,0.0,0.0,566.8439966666666
52.0,1051.5957893333334,133.98441426666665,133.98441426666665,0.0,0.0,0.0,133.98441426666665,1051.5957893333334,133.98441426666665,0.0,0.0,0.0,133.98441426666665,133.98441426666665,1051.5957893333334,0.0,0.0,0.0,0.0,0.0,0.0,566.7836765333333,0.0,0.0,0.0,0.0,0.0,0.0,566.7836765333333,0.0,0.0,0.0,0.0,0.0,0.0,566.7836765333333
54.0,1051.500012,133.97293019999998,133.97293019999998,0.0,0.0,0.0,133.97293019999998,1051.500012,133.97293019999998,0.0,0.0,0.0,133.97293019999998,133.97293019999998,1051.500012,0.0,0.0,0.0,0.0,0.0,0.0,566.7233564,0.0,0.0,0.0,0.0,0.0,0.0,566.7233564,0.0,0.0,0.0,0.0,0.0,0.0,566.7233564
56.0,1051.4042346666668,133.9614461333333,133.9614461333333,0.0,0.0,0.0,133.9614461333333,1051.4042346666668,133.9614461333333,0.0,0.0,0.0,133.9614461333333,133.9614461333333,1051.4042346666668,0.0,0.0,0.0,0.0,0.0,0.0,566.6630362666666,0.0,0.0,0.0,0.0,0.0,0.0,566.6630362666666,0.0,0.0,0.0,0.0,0.0,0.0,566.6630362666666
58.0,1051.3084573333333,133.94996206666664,133.94996206666664,0.0,0.0,0.0,133.94996206666664,1051.3084573333333,133.94996206666664,0.0,0.0,0.0,133.94996206666664,133.94996206666664,1051.3084573333333,0.0,0.0,0.0,0.0,0.0,0.0,566.6027161333333,0.0,0.0,0.0,0.0,0.0,0.0,566.6027161333333,0.0,0.0,0.0,0.0,0.0,0.0,566.6027161333333
60.0,1051.21268,133.93847799999998,133.93847799999998,0.0,0.0,0.0,133.93847799999998,1051.21268,133.93847799999998,0.0,0.0,0.0,133.93847799999998,133.93847799999998,1051.21268,0.0,0.0,0.0,0.0,0.0,0.0,566.5423959999999,0.0,0.0,0.0,0.0,0.0,0.0,566.5423959999999,0.0,0.0,0.0,0.0,0.0,0.0,566.5423959999999
62.0,1051.1169026666666,133.9269939333333,133.9269939333333,0.0,0.0,0.0,133.9269939333333,1051.1169026666666,133.9269939333333,0.0,0.0,0.0,133.9269939333333,133.9269939333333,1051.1169026666666,0.0,0.0,0.0,0.0,0.0,0.0,566.4820758666666,0.0,0.0,0.0,0.0,0.0,0.0,566.4820758666666,0.0,0.0,0.0,0.0,0.0,0.0,566.4820758666666
64.0,1051.0211253333334,133.91550986666664,133.91550986666664,0.0,0.0,0.0,133.91550986666664,1051.0211253333334,133.91550986666664,0.0,0.0,0.0,133.91550986666664,133.91550986666664,1051.0211253333334,0.0,0.0,0.0,0.0,0.0,0.0,566.4217557333333,0.0,0.0,0.0,0.0,0.0,0.0,566.4217557333333,0.0,0.0,0.0,0.0,0.0,0.0,566.4217557333333
66.0,1050.925348,133.90402579999997,133.90402579999997,0.0,0.0,0.0,133.90402579999997,1050.925348,133.90402579999997,0.0,0.0,0.0,133.90402579999997,133.90402579999997,1050.925348,0.0,0.0,0.0,0.0,0.0,0.0,566.3614355999999,0.0,0.0,0.0,0.0,0.0,0.0,566.3614355999999,0.0,0.0,0.0,0.0,0.0,0.0,566.3614355999999
68.0,1050.8295706666668,133.8925417333333,133.8925417333333,0.0,0.0,0.0,133.8925417333333,1050.8295706666668,133.8925417333333,0.0,0.0,0.0,133.8925417333333,133.8925417333333,1050.8295706666668,0.0,0.0,0.0,0.0,0.0,0.0,566.3011154666666,0.0,0.0,0.0,0.0,0.0,0.0,566.3011154666666,0.0,0.0,0.0,0.0,0.0,0.0,566.3011154666666
70.0,1050.7337933333333,133.88105766666663,133.88105766666663,0.0,0.0,0.0,133.88105766666663,1050.7337933333333,133.88105766666663,0.0,0.0,0.0,133.88105766666663,133.88105766666663,1050.7337933333333,0.0,0.0,0.0,0.0,0.0,0.0,566.2407953333333,0.0,0.0,0.0,0.0,0.0,0.0,566.2407953333333,0.0,0.0,0.0,0.0,0.0,0.0,566.2407953333333
72.0,1050.638016,133.86957359999997,133.86957359999997,0.0,0.0,0.0,133.86957359999997,1050.638016,133.86957359999997,0.0,0.0,0.0,133.86957359999997,133.86957359999997,1050.638016,0.0,0.0,0.0,0.0,0.0,0.0,566.1804751999999,0.0,0.0,0.0,0.0,0.0,0.0,566.1804751999999,0.0,0.0,0.0,0.0,0.0,0.0,566.1804751999999
74.0,1050.5422386666667,133.8580895333333,133.8580895333333,0.0,0.0,0.0,133.8580895333333,1050.5422386666667,133.8580895333333,0.0,0.0,0.0,133.8580895333333,133.8580895333333,1050.5422386666667,0.0,0.0,0.0,0.0,0.0,0.0,566.1201550666666,0.0,0.0,0.0,0.0,0.0,0.0,566.1201550666666,0.0,0.0,0.0,0.0,0.0,0.0,566.1201550666666
76.0,1050.4464613333334,133.84660546666663,133.84660546666663,0.0,0.0,0.0,133.84660546666663,1050.4464613333334,133.84660546666663,0.0,0.0,0.0,133.84660546666663,133.84660546666663,1050.4464613333334,0.0,0.0,0.0,0.0,0.0,0.0,566.0598349333333,0.0,0.0,0.0,0.0,0.0,0.0,566.0598349333333,0.0,0.0,0.0,0.0,0.0,0.0,566.0598349333333
78.0,1050.350684,133.83512139999996,133.83512139999996,0.0,0.0,0.0,133.83512139999996,1050.350684,133.83512139999996,0.0,0.0,0.0,133.83512139999996,133.83512139999996,1050.350684,0.0,0.0,0.0,0.0,0.0,0.0,565.9995147999999,0.0,0.0,0.0,0.0,0.0,0.0,565.9995147999999,0.0,0.0,0.0,0.0,0.0,0.0,565.9995147999999
80.0,1050.2549066666668,133.8236373333333,133.8236373333333,0.0,0.0,0.0,133.8236373333333,1050.2549066666668,133.8236373333333,0.0,0.0,0.0,133.8236373333333,133.8236373333333,1050.2549066666668,0.0,0.0,0.0,0.0,0.0,0.0,565.9391946666666,0.0,0.0,0.0,0.0,0.0,0.0,565.9391946666666,0.0,0.0,0.0,0.0,0.0,0.0,565.9391946666666
82.0,1050.1591293333333,133.81215326666663,133.81215326666663,0.0,0.0,0.0,133.81215326666663,1050.1591293333333,133.81215326666663,0.0,0.0,0.0,133.81215326666663,133.81215326666663,1050.1591293333333,0.0,0.0,0.0,0.0,0.0,0.0,565.8788745333333,0.0,0.0,0.0,0.0,0.0,0.0,565.8788745333333,0.0,0.0,0.0,0.0,0.0,0.0,565.8788745333333
84.0,1050.0633520000001,133.80066919999996,133.80066919999996,0.0,0.0,0.0,133.80066919999996,1050.0633520000001,133.80066919999996,0.0,0.0,0.0,133.80066919999996,133.80066919999996,1050.0633520000001,0.0,0.0,0.0,0.0,0.0,0.0,565.8185543999999,0.0,0.0,0.0,0.0,0.0,0.0,565.8185543999999,0.0,0.0,0.0,0.0,0.0,0.0,565.8185543999999
86.0,1049.9675746666667,133.7891851333333,133.7891851333333,0.0,0.0,0.0,133.7891851333333,1049.9675746666667,133.7891851333333,0.0,0.0,0.0,133.7891851333333,133.7891851333333,1049.9675746666667,0.0,0.0,0.0,0.0,0.0,0.0,565.7582342666666,0.0,0.0,0.0,0.0,0.0,0.0,565.7582342666666,0.0,0.0,0.0,0.0,0.0,0.0,565.7582342666666
88.0,1049.8717973333335,133.77770106666662,133.77770106666662,0.0,0.0,0.0,133.77770106666662,1049.8717973333335,133.77770106666662,0.0,0.0,0.0,133.77770106666662,133.77770106666662,1049.8717973333335,0.0,0.0,0.0,0.0,0.0,0.0,565.6979141333333,0.0,0.0,0.0,0.0,0.0,0.0,565.6979141333333,0.0,0.0,0.0,0.0,0.0,0.0,565.6979141333333
90.0,1049.77602,133.76621699999998,133.76621699999998,0.0,0.0,0.0,133.76621699999998,1049.77602,133.76621699999998,0.0,0.0,0.0,133.76621699999998,133.76621699999998,1049.77602,0.0,0.0,0.0,0.0,0.0,0.0,565.6375939999999,0.0,0.0,0.0,0.0,0.0,0.0,565.6375939999999,0.0,0.0,0.0,0.0,0.0,0.0,565.6375939999999
92.0,1049.6802426666668,133.75473293333332,133.75473293333332,0.0,0.0,0.0,133.75473293333332,1049.6802426666668,133.75473293333332,0.0,0.0,0.0,133.75473293333332,133.75473293333332,1049.6802426666668,0.0,0.0,0.0,0.0,0.0,0.0,565.5772738666666,0.0,0.0,0.0,0.0,0.0,0.0,565.5772738666666,0.0,0.0,0.0,0.0,0.0,0.0,565.5772738666666
94.0,1049.5844653333334,133.74324886666665,133.74324886666665,0.0,0.0,0.0,133.74324886666665,1049.5844653333334,133.74324886666665,0.0,0.0,0.0,133.74324886666665,133.74324886666665,1049.5844653333334,0.0,0.0,0.0,0.0,0.0,0.0,565.5169537333333,0.0,0.0,0.0,0.0,0.0,0.0,565.5169537333333,0.0,0.0,0.0,0.0,0.0,0.0,565.5169537333333
96.0,1049.4886880000001,133.73176479999998,133.73176479999998,0.0,0.0,0.0,133.73176479999998,1049.4886880000001,133.73176479999998,0.0,0.0,0.0,133.73176479999998,133.73176479999998,1049.4886880000001,0.0,0.0,0.0,0.0,0.0,0.0,565.4566335999999,0.0,0.0,0.0,0.0,0.0,0.0,565.4566335999999,0.0,0.0,0.0,0.0,0.0,0.0,565.4566335999999
